ROW,ID,TEXT,CODE,PKEY,SORT,PLT
85,CQ3,"VA Personnel, VA Contractors, Veterans, Veterans' family members",VA_PERSONNEMBER,5102,9,402
86,CQ3,NOAA employees and contractors,NOAA_EMPLOACTOR,5103,10,402
87,CQ3,Aviation workers,AVIAT_WORKER,5104,11,402
88,CQ3,Federal Credit Unions and other Federal finical personnel,FEDER_CREDONNEL,5105,12,402
89,CQ3,Internal and External Stakeholders,INTERN_EXTEHOLD,5106,13,402
90,CQ3,Potential federal employees,POTENTI_FEPLOYE,5107,14,402
91,CQ3,Public officials,PUBLIC_OFFICI,5108,15,402
92,CQ3,Border Patrol,BORDER_PATROL,5109,16,402
93,CQ3,Economic Analysts,ECONOM_ANALYST,5110,17,402
94,CQ3,Infrastructure Support Personnel,INFRASTRUCONNEL,5111,18,402
95,CQ3,SLTT Organizations,SLTT_ORGAN,5112,19,402
96,CQ3,"Federal, State, Local, Tribal, and Territorial communities",FEDERAL_STOMMUN,5113,20,402
97,CQ3,Medical and Healthcare Personnel,MEDIC_HEALONNEL,5114,21,402
98,CQ3,Visa applicants,VISA_APPLIC,5115,22,402
99,CQ3,Military and Defense Personnel,MILITARI_DONNEL,5116,23,402
100,CQ3,other Government systems,GOVERN_SYSTEM,5117,24,402
101,CQ3,other public systems,PUBLIC_SYSTEM,5118,25,402
102,CQ3,Internal agency users,INTERN_AGENC_US,5119,26,402
103,CQ3,External agency users,EXTERN_AGENC_US,5120,27,402
104,CQ3,Other [Free Text],OTHER_FREE_TEXT,5121,28,402
105,CQ3,None,NONE,5122,29,402
106,CQ3,< 5 years,N_5_YEAR,5123,30,402
107,CQ3,> 6 – 10 years,N_6_10_YEAR,5124,31,402
108,CQ3, > 10 – 15 years,N_10_15_YEAR,5125,32,402
109,CQ3, > 15 – 20 years,N_15_20_YEAR,5126,33,402
110,CQ3, > 20 – 30 years,N_20_30_YEAR,5127,34,402
111,CQ3, > 30 – 40 years,N_30_40_YEAR,5128,35,402
112,CQ3,> 40 years,N_40_YEAR,5129,36,402
113,CQ4, Yes,N_1_YE,5139,1,403
114,CQ4, No,N_2_NO,5140,2,403
115,CQ4, Unknown,N_3_UNKNOWN,5141,3,403
116,CQ4a,"Legacy codebase (COBOL, MUMPS)",LEGACI_CODMUMPS,5151,1,404
117,CQ4a,Lack of or poor documentation,LACK_POOR_DOCUM,5152,2,404
118,CQ4a,Legacy infrastructure,LEGACI_INFRASTR,5153,3,404
119,CQ4a,Ad-hoc infrastructure ,AD_HOC_INFRASTR,5154,4,404
120,CQ4a,Hardware or software with no vendor/manufacturer support,HARDWAR_SOPPORT,5155,5,404
121,CQ4a,Outdated or inaccurate inventory,OUTDAT_INANTORI,5156,6,404
122,CQ4a,Limited Functionality,LIMIT_FUNCTION,5157,7,404
123,CQ4a,Other [Free Text],OTHER_FREE_TEXT,5158,8,404
124,CQ4b, Yes,N_1_YE,5168,1,405
125,CQ4b, No,N_2_NO,5169,2,405
126,CQ4b, Unknown,N_3_UNKNOWN,5170,3,405
127,CQ4c, Yes,N_1_YE,5180,1,406
128,CQ4c, No,N_2_NO,5181,2,406
129,CQ4c, Unknown,N_3_UNKNOWN,5182,3,406
130,CQ5, Yes,N_1_YE,5192,1,407
131,CQ5, No,N_2_NO,5193,2,407
132,CQ5, Unknown,N_3_UNKNOWN,5194,3,407
133,CQ5a,DATE (MM/YYYY),DATE_MM_YYYY,5204,1,408
134,CQ6, Yes,N_1_YE,5214,1,409
135,CQ6, No,N_2_NO,5215,2,409
136,CQ6, Unknown,N_3_UNKNOWN,5216,3,409
137,CQ6a, Free text,N_1_FREE_TEXT,5226,1,410
138,CQ6b, Yes,N_1_YE,5236,1,411
139,CQ6b, No,N_2_NO,5237,2,411
140,CQ6b, Unknown,N_3_UNKNOWN,5238,3,411
141,CQ6c, Yes,N_1_YE,5248,1,412
142,CQ6c, No,N_2_NO,5249,2,412
143,CQ6c, Unknown,N_3_UNKNOWN,5250,3,412
144,CQ7, Cloud,N_1_CLOUD,5260,1,413
145,CQ7, Mainframe,N_2_MAINFRAM,5261,2,413
146,CQ7, GSS,N_3_GSS,5262,3,413
147,CQ7, Web Application,N_4_WEB_APPLIC,5263,4,413
148,CQ7, Application Platform,N_5_APPLIC_PLAT,5264,5,413
149,CQ7, ICS/SCADA,N_6_ICS_SCADA,5265,6,413
150,CQ7, Client/Server,N_7_CLIENT_SERV,5266,7,413
151,CQ7, Other [Free Text],N_8_OTHER_FREE_,5267,8,413
152,CQ7a, Paas,N_1_PAA,5277,1,414
153,CQ7a, SaaS,N_2_SAA,5278,2,414
154,CQ7a, IaaS,N_3_IAA,5279,3,414
155,CQ7a, Hybrid,N_4_HYBRID,5280,4,414
156,CQ7a, Other [Free Text],N_5_OTHER_FREE_,5281,5,414
157,CQ5, Yes,N_1_YE,5291,1,415
158,CQ5, No,N_2_NO,5292,2,415
159,CQ5, Unknown,N_3_UNKNOWN,5293,3,415
160,CQ5a, Free Text,N_1_FREE_TEXT,5303,1,416
161,CQ6, GSS,N_1_GSS,5313,1,417
